base,dataset,reranker,seed,metric,value
als,amazon-beauty,none,0,NDCG@10,0.03520043566823006
als,amazon-beauty,none,0,Recall@10,0.054842542856931686
als,amazon-beauty,none,0,HR@10,0.09921349585056305
als,amazon-beauty,none,0,Diversity,0.8290926814079285
als,amazon-beauty,none,0,Coverage,0.10581662832730858
als,amazon-beauty,none,0,AvgPop,77.49798161660192
als,amazon-beauty,mmr_lam=1.0,0,NDCG@10,0.03520043566823006
als,amazon-beauty,mmr_lam=1.0,0,Recall@10,0.054842542856931686
als,amazon-beauty,mmr_lam=1.0,0,HR@10,0.09921349585056305
als,amazon-beauty,mmr_lam=1.0,0,Diversity,0.8290926814079285
als,amazon-beauty,mmr_lam=1.0,0,Coverage,0.10581662832730858
als,amazon-beauty,mmr_lam=1.0,0,AvgPop,77.49798161660192
als,amazon-beauty,mmr_lam=0.8,0,NDCG@10,0.033304743468761444
als,amazon-beauty,mmr_lam=0.8,0,Recall@10,0.05062287673354149
als,amazon-beauty,mmr_lam=0.8,0,HR@10,0.09475978463888168
als,amazon-beauty,mmr_lam=0.8,0,Diversity,0.8925772905349731
als,amazon-beauty,mmr_lam=0.8,0,Coverage,0.11025303976339139
als,amazon-beauty,mmr_lam=0.8,0,AvgPop,79.3353359234341
als,amazon-beauty,mmr_lam=0.6,0,NDCG@10,0.029083838686347008
als,amazon-beauty,mmr_lam=0.6,0,Recall@10,0.042039353400468826
als,amazon-beauty,mmr_lam=0.6,0,HR@10,0.08120913803577423
als,amazon-beauty,mmr_lam=0.6,0,Diversity,0.9453610777854919
als,amazon-beauty,mmr_lam=0.6,0,Coverage,0.12471245481432797
als,amazon-beauty,mmr_lam=0.6,0,AvgPop,79.84286932625794
als,amazon-beauty,mmr_lam=0.4,0,NDCG@10,0.02469610422849655
als,amazon-beauty,mmr_lam=0.4,0,Recall@10,0.03357568383216858
als,amazon-beauty,mmr_lam=0.4,0,HR@10,0.06813228130340576
als,amazon-beauty,mmr_lam=0.4,0,Diversity,0.9733943343162537
als,amazon-beauty,mmr_lam=0.4,0,Coverage,0.14130791981597107
als,amazon-beauty,mmr_lam=0.4,0,AvgPop,78.71115322657064
als,amazon-beauty,mmr_lam=0.2,0,NDCG@10,0.021740557625889778
als,amazon-beauty,mmr_lam=0.2,0,Recall@10,0.028846360743045807
als,amazon-beauty,mmr_lam=0.2,0,HR@10,0.060456741601228714
als,amazon-beauty,mmr_lam=0.2,0,Diversity,0.9850339889526367
als,amazon-beauty,mmr_lam=0.2,0,Coverage,0.16250410778836674
als,amazon-beauty,mmr_lam=0.2,0,AvgPop,76.02531033829243
als,amazon-beauty,dpp_alpha=0.5,0,NDCG@10,0.02303740568459034
als,amazon-beauty,dpp_alpha=0.5,0,Recall@10,0.029571188613772392
als,amazon-beauty,dpp_alpha=0.5,0,HR@10,0.0616886205971241
als,amazon-beauty,dpp_alpha=0.5,0,Diversity,0.9837557077407837
als,amazon-beauty,dpp_alpha=0.5,0,Coverage,0.1529740387775222
als,amazon-beauty,dpp_alpha=0.5,0,AvgPop,75.74841277361888
